S. No.,source,startupName,website,foundedDate,description,ICB_industry,ICB_sector,startupClassification,startupClassification2,businessModel,keyword1,keyword2,keyword3,city,state,startupStatus,groupClassification1,groupClassification2,groupClassification3,Group Classification 4,Stage at the time of incubation,"Total investment by founders (Rupees, Lakhs)",Number of Founders,founder1Name,founder2Name,founder3Name,incubator,incubatorDate,Start-up stage,incubatorResult,accelerator,accleratorDate,Start-up stage,accelaratorResult,round1Date,round1InvestorCount,round1LeadInvestorType,round1InvestmentAmount,round1Valuation,Round1 Employees (Number),"Round1 Revenues (Rupees, Lakhs)",round2Date,round2InvestorCount,round2LeadInvestorType,round2InvestmentAmount,round2Valuation,Round2 Shareholding,Round2 Employees (Number),"Round2 Revenues (Rupees, Lakhs)",round3Date,round3InvestorCount,round3LeadInvestorType,round3InvestmentAmount,round3Valuation,Round3 Shareholding,Round3 Employees (Number),"Round3 Revenues (Rupees, Lakhs)",Round4 date,Round4 Total investors,Round4 Lead Investor type,Round4 Investment amount (Rupees Crores),Round4 Valuation (Rupees Crores),Round4 Shareholding,Round4 Employees (Number),"Round4 Revenues (Rupees, Lakhs)"
145,VI,CustomerXPs Software,http://www.customerxps.com/,,CustomerXPs helps banks with Enterprise Fraud Management and Customer Experience Management.,Technology,Software & Computer Services,Software and Internet Services,,B2B,Software development for companies,,,Bengaluru,,,Enterprise Software,,,,,,,,,,Microsoft Ventures,03/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,VI,CustomerXPs Software,http://www.customerxps.com,,"CustomerXPs creates real-time, intelligent software products for banking, retail and telecom enterprises. It is an enterprise software product company offering Enterprise Financial Crime Management (EFCM), Anti-Money Laundering (AML) and Customer Experience Management (CEM) products for Tier I global banks.",Technology,Software & Computer Services,Software and Internet Services,,B2B,Software development for companies,,,Bengaluru,,,Enterprise Software,,,,,,,,,,Rise Accelerator,10/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,VI,Cutting Edge Medical Devices,https://letsventure.com/cutting-edge-medical-devices-private-limited-2,,"Target manufactures portable Urine Protein analyzers which can detect proteins for diseases like kidney, cardiovascular, malnourishment and complications in pregnancy.",Healthcare,Healthcare,Health-Tech,,B2C,Medical Device and analysis,,,Delhi,,,Healthcare Analytics and Software,,,,,,,,,,IIT-Delhi TBI,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,VI,Cuztomise,http://www.cuztomise.com/,,"Cuztomise is a SaaS-based collaboration platform for field service businesses. It offers features like workforce scheduling, invoicing, and field job tracking among others. It also allows users to communicate with their team and clients on the go.",Technology,Software & Computer Services,Software and Internet Services,,B2B2C,SOFTWARE FOR COMPANIES,,,Indore,,,SaaS,,,,,,,,,,GSF Accelerator,06/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,VI,Cygni Energy,http://www.cygni.com,,"Solar-DC Power Solutions through development of three technologies: GOA (green offices & apartments) – provide 24/7 DC power at 48V to power DC devices (BLDC fans, LED lights and electronic gadgets), in addition to the regular 230V AC supply to apartments/office spaces via a centralized DC power module that supplies DC & multiple metering modules at the output. Seamlessly integrates solar and energy storage so that the cost of back-up power is reduced by half and provides uninterrupted power to multi-storied apartments and offices.  OGH (off grid homes) – developed in collaboration with IITM has the potential to light up homes with no access to electricity or limited access i.e. Target market: peri-urban, rural and other areas with no or near off grid conditions. UDC meter – conceptualized at IITM, aims at providing limited but uninterrupted power to all homes. This uses an innovative “Brown-Out” concept where some limited power is drawn from the existing power grid. GOA and OGH boxes have an integrated energy management systems. Seed funding by RTBI - INR 10 crore Series A investment.",Technology,Technology Hardware & Equipment,Clean Technology,,B2B2C,Solar power devices,,,Hyderabad,,,Solar energy,,,,,,,,,,IIT-M,03/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,VI,D-Rewards,http://drewards.in/,,D-Rewards offers a cloud-based CRM tool for offline small business retailers that enables end-to-end customer engagement using loyalty as a platform for profiling. It features in-house analytics & targeted promotions. Target name = Infinite Rewards Pvt Ltd.,Technology,Software & Computer Services,Software and Internet Services,,B2B,CRM application for companies,,,Chennai,,,Enterprise Software,,,,,,,,,,Paypal Start Tank,11/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,VI,DabKick,http://dabkick.com/,,"An iPhone app that lets any user share pictures, music and videos instantly with the app owner.",Consumer_services,Media,"Media, Advertising and Gaming",,B2C,Share media videos movies,,,California,,,Movies and video,,,,,,,,,,Microsoft Accelerator,07/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,VI,Daddys Pocket,http://www.daddyspocket.com/,,daddysPocket is a sponsorship marketplace for college events helping college students get sponsorship.,Technology,Software & Computer Services,Social Platforms,,B2B,Students and sponsor connectors,,,Hyderabad,,,Connect People for Social Activities,,,,,,,,,,Spark10,07/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,VI,Daily Rounds,http://www.dailyrounds.org/,,"Target operates a mobile app that compiles case studies and quizzes for doctors. Daily rounds has secured INR 3 crore from Kae Capital, Japanese e-commerce firm Beenos founder Teruhide Sato and GSF Accelerator.",Healthcare,Healthcare,Health-Tech,,B2C,Mobile app for doctors,,,Bengaluru,,,Telemedicine and Online health care platforms,,,,,,,,,,Microsoft Accelerator,03/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,VI,DailyRounds,http://www.dailyrounds.org/,,DailyRounds has developed a medical journal mobile app for doctors to review clinical patient case studies.,Healthcare,Healthcare,Health-Tech,,B2C,Mobile app for doctors,,,Bengaluru,,,Telemedicine and Online health care platforms,,,,,,,,,,GSF Accelerator,06/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,VI,Daksha Imaging,http://www.dakshaimaging.com/,,Daksha Imaging provides solutions for the next generation video surveillance. It has launched two products till date - Cloud CCTV System and Video Management Software.,Technology,Technology Hardware & Equipment,Technology,,B2B,Video Surveillance,,,Delhi,,,Security & Surveillance Technology,,,,,,,,,,IIT-M,10/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,VI,DataQ,http://www.dataqtechnologies.com/,,"Coimbatore-based PSG-Step has incubated 2 startups- DataQ and Diagnostring Laboratories. DataQ focuses on providing data collection, validation, and analytics solutions for the RFID industry.",Technology,Software & Computer Services,Software and Internet Services,,B2B,Data analytics,,,Coimbatore,,,Big Data Analytics and Machine learning,,,,,,,,,,PSG-STEP,03/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,VI,DAZL,http://www.dazl.io/,,"DAZL builds connected devices for the safety of women. At the press of a button, it enables you to send an instant text alert to your family and friends with your location so they know where you are and you can get the help you need. You can also choose to sound a loud alarm to diffuse an uncomfortable situation. So for the women in your life or if you are a woman, take control and DAZL!",Technology,Software & Computer Services,Software and Internet Services,,B2C,Mobile Safey app for message alert,,,Mumbai,,,Software services for consumers,,,,,,,,,,Zone Startups India,06/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,VI,DE 3.2,http://www.deearth.com,,De earth is a young architecture and urban design firm where we enjoy working towards a better and greener tomorrow.,Industrials,Industrial goods and services,Industrial and Business Products and Services,,B2B2C,Architecture and design provider,,,Kochi,,,Professional services,,,,,,,,,,NIT-Calicut TBI,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,VI,DeltaX,http://www.deltax.com/,,A cross-channel digital advertising platform.,Consumer_services,Media,"Media, Advertising and Gaming",,B2B2C,Advertsing,,,Bengaluru,,,Advertising,,,,,,,,,,Microsoft Accelerator,07/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,VI,Demach Software,,,"Demach Software is the maker of Konotor, an user-engagement solution for mobile apps.",Technology,Software & Computer Services,Software and Internet Services,,B2C,Software developer,,,Chennai,,,Enterprise Software,,,,,,,,,,Paypal Start Tank,11/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,VI,Design For Use,http://designforuse.net/,,"Design For Use has been creating great user experiences since 2005. They dig in to the needs and goals of their users to improve the ease-of-use, functionality, and aesthetics of their product. Most importantly, they have fun while they do it!",Industrials,Industrial goods and services,Industrial and Business Products and Services,,B2C,,,,Gurgaon,,,Business Training & Employment Agencies,,,,,,,,,,Investopad,08/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,VI,Design Non stop,,,Bamboo and architectural Products,Consumer_goods,personal and household goods,Consumer Products and Services,,B2B,Natural products,,,Bengaluru,,,Farming & Agriculture,,,,,,,,,,NDBI,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,VI,Detect Tech,,,Detect Technologies has developed a Guided Ultrasonic Monitoring of Pipe Systems (Gumps) to help detect and predict leakages through the use of sensors tracking high-temperature fluids flowing through pipes (for example in the oil and gas industry). Reliance Industries has funded about Rs. 65 lakh and IIT-M incubation cell Rs. 10 lakh for research and development. The product is currently on offer for trial with select group of companies.,Industrials,Industrial goods and services,Industrial and Business Products and Services,,B2B,Leak detection of pipelines,,,Chennai,,,Engineering Consultancy,,,,,,,,,,IIT-Madras RTBI,04/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,VI,Diabeto,https://diabe.to,,"HAX Accelerator has recently invested into Mumbai based Diabeto, a provider of an integrated hardware device, mobile application software and consulting service for diabetics patients. The system consists of a Bluetooth powered hardware device that enables the transfer of blood glucose readings from Glucometers into a smartphone.",Healthcare,Healthcare,Health-Tech,,B2C,online consulting for diabetic patients,,,Mumbai,,,Telemedicine and Online health care platforms,,,,,,,,,,HAX,11/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,VI,Diagnostring Labs,http://www.diagnostring.com,,"Coimbatore-based PSG-Step has incubated 2 startups- DataQ and Diagnostring Laboratories. Diagnostring Laboratories provides tailored genomic services to clinics, academia and industries worldwide by multiplexing and quantitating expression of up to 800 different genes, microRNAs and proteins in a single assay just within two days.",Healthcare,Healthcare,Health-Tech,,B2C,Drug Development,,,Coimbatore,,,Pharmaceuticals and drug development and manufacturing,,,,,,,,,,PSG-STEP,03/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,VI,Digikrit,http://digikrit.com/,,"Digikrit is currently working on various open source projects & ejabberd based chat and collaboration products.Digikrit is a software development company with vision to do useful digital creation & innovation. We are providing consulting & training on niche emerging technologies, apart from development of software products & open source projects.",Technology,Software & Computer Services,Software and Internet Services,,B2C,Software Development Company,,,Bengaluru,,,Internet and software development,,,,,,,,,,GINSERV,08/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,VI,Digio,https://www.digio.in/,,Online discount firm Zerodha has invested INR 2.5 crore through its in-house incubator and fund Rainmatter in financial technology digital signature enabling platform Digio. The funds invested in the startup will be used for hiring purposes and for operational activities over the next 12-14 months.,Consumer_services,Retail,Internet marketplace and eCommerce,,B2C,online discount firm,,,Bengaluru,,,Coupons and Deals,,,,,,,,,,RainMatter,08/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,VI,Discover Dollar Technologies,http://www.discoverdollar.com/,,Discover Dollar is a technology that stops leakages and overpayments.,Financials,Financial services,Fin-Tech and Payments,,B2C,Payment methods,,,Bengaluru,,,Payments and Wallet,,,,,,,,,,Target Accelerator,11/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,VI,Discover Dollar Technologies,http://www.discoverdollar.com/,,Discover Dollar have developed cutting edge technological solution to effectively overcome your problems of over-payment and provide real-time analytics. Reduction in over-payment will be real-time as our product and detect possible over-payment as soon as they occur and notify relevant persons in your organization to take action. This would mean you not only recover your lost money immediately but also significant time value of money because over-payments are very hard to recover at later stages and involve time value,Financials,Financial services,Fin-Tech and Payments,,B2C,Payment methods,,,Bengaluru,,,Payments and Wallet,,,,,,,,,,Amrita - TBI,04/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,VI,Do PartTime,http://www.doparttime.com,,"It is an on-line portal that facilitates hiring and finding of part-time jobs. We are a marketplace where one can list your openings which are micro, contract, temporary, part-time and one time tasks.",Industrials,Industrial goods and services,Industrial and Business Products and Services,,B2B2C,Job Employment,,,Chennai,,,Business Training & Employment Agencies,,,,,,,,,,Paypal Start Tank,01/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,VI,Doctors for You,http://www.doctorsforyou.org/,,Doctors for You is a NGO in the healthcare sector,Healthcare,Healthcare,Health-Tech,,B2C,Doctor and Diagnostics,,,Mumbai,,,"Clinics, Hospitals, and Health Care Providers ",,,,,,,,,,IIM-C,09/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,VI,Docturnal,http://www.docturnal.com/,,"Avishkar, the incubator run by the Indian Institute of Information Technology, Hyderabad (IIIT-H) has seed-funded five early stage startups with INR 10 lakh each. The accelerator would take up 2% equity stake in the start-ups by converting its convertible debentures at a later stage. Docturnal, mobile apps developer leveraging AI/ML and spectral analysis.",Technology,Software & Computer Services,Software and Internet Services,,B2B,Mobile Application Develpoment,,,Hyderabad,,,Software services for consumers,,,,,,,,,,IIIT-H,01/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,VI,Dravak Technologies,http://www.dravak.com,,Dravak Technologies offers an innovative high-performance roof top wind turbine system as a solution to the increasing power demand.,Utilities,Utilities,Clean Technology,,B2B,Wind energy devices,,,Chennai,,,Wind energy,,,,,,,,,,IIT-M,12/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,VI,DreamVu,http://www.dreamvu.com/,,"Avishkar, the incubator run by the Indian Institute of Information Technology, Hyderabad (IIIT-H) has seed-funded five early stage startups with INR 10 lakh each. The accelerator would take up 2% equity stake in the start-ups by converting its convertible debentures at a later stage. DreamVu is a VR camera technology startup",Technology,Technology Hardware & Equipment,Technology,,B2C,VR camera tech devices,,,Hyderabad,,,VR-AR,,,,,,,,,,IIIT-H,01/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,VI,Eashmart,https://www.eashmart.com/,,"Cobboc, developer of a mobile POS (point-of-sale) payment system called Eashmart, has raised funding from CIIE, IIM Ahmedabad’s incubator, and two unnamed angel investors. The company will use the funds raised for further technology development and market education.",Financials,Financial services,Fin-Tech and Payments,,B2C,Payment methods,,,Delhi,,,Payments and Wallet,,,,,,,,,,IIM-A CIIE,01/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,VI,EasyFix.in,http://www.easyfix.in/,,"Gurgaon-based EasyFix.in Handy Solutions India has raised funding from Bangalore-based early state fund Axilor Venture Capital. EasyFix provides repair and maintenance services for carpentry, electrical work and plumbing at homes and offices. EasyFix plans to utilise the new investment to expand its geographical reach to 15 cities. Further, the company will concentrate on tech-enablement of its on-field professionals and improving services' delivery turn-around-time (TAT).",Consumer_services,Retail,Consumer Products and Services,,B2C,Odds house improvement services,,,Gurgoan,,,Servicing,,,,,,,,,,Axilor Ventures,09/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,VI,Eclinicals,,,"eClinicalWorks is committed to making a change by dedicating our professional careers to improving healthcare by providing technology and services to reduce costs, reduce errors and improve the quality of care.",Healthcare,Healthcare,Health-Tech,,B2B,Healthcare solutions,,,Bengaluru,,,Healthcare Analytics and Software,,,,,,,,,,Amrita - TBI,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,VI,Ecofrost Technologies,http://www.ecofrost.in,,"The target company is a subsidiary of solar EPC firm Ecozen Sultions. It has designed a a solar powered cold storage system to help small farmers prevent the wastage of perishable produce. The product, primarily designed for the rural segment, does not depend on grid electricity and after a 2-year breakeven, claims to lead to over 40% increase in profits.",Utilities,Utilities,Clean Technology,,B2C,Solar power devices,,,Pune,,,Solar energy,,,,,,,,,,IIT-KGP STEP,07/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,VI,eCourierz,http://www.ecourierz.com/,,"Based in Bangalore, it is an online, automated shipping tool.",Consumer_services,Travel and Leisure,Hyperlocal and Logistics,,B2B,Shiping and logistics,,,Bengaluru,,,Delivery services and logistics,,,,,,,,,,Pitney Bowes,08/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,VI,EdGE Network,https://edgenetworks.in/,,"Using the steel of artificial intelligence and data science we join forces to battle your toughest talent acquisition and workforce optimization challenges.Global tech giant Google has announced the list of startups that will be joining the fourth edition of the Launchpad Accelerator Program. The six Indian startups selected are: EdGE Networks, Fastfilmz, Indialends, RailYatri, RecipeBook and SigTuple. The six month programme programme will start on July 17, 2017.",Technology,Software & Computer Services,Software and Internet Services,,B2B,Data Analytics,,,Bengaluru,,,Cloud Infrastructure,,,,,,,,,,Google Launchpad,05/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,VI,Edukart,http://www.edukart.com,,"Co Name = Earth Education Valley Pvt Ltd  EduKart, has raised US $1 Million from United Finsec (family office arm of Holostik Group), YouWeCan Ventures and prominent early stage fund 500 Startups. Existing investors including Vijay Shekhar Sharma (Founder, PayTM), Manish Kheterpal (Ex Director of Providence Equity Partners), Amit Patni and Arihant Patni of Patni family, and Stanford Business School alumni angels have also participated in the current round.",Technology,Software & Computer Services,Edu-Tech,,B2C,Educational course ,,,Delhi,,,Online courses and resources,,,,,,,,,,500 Startups,06/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,VI,Edukul,http://www.edukul.in/,,"Edukul is a social learning platform that connects various stakeholders of the school. It not only eliminates redundant administrative work, but also allows teachers to pay individual attention to students",Technology,Software & Computer Services,Edu-Tech,,B2C,Tutoring,,,Bengaluru,,,Peer teaching and teaching innovations,,,,,,,,,,IIM-B NSRCEL,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,VI,Edurade,http://edurade.com,,Edurade hosts workshops in fields of Aeromodelling and Unmanned Aerial Vehicles.,Technology,Software & Computer Services,Edu-Tech,,B2C,Industrial workshops,,,Kolkata,,,Placement and Employment related services,,,,,,,,,,IIM-C,12/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,VI,Edwell Solutions,http://www.edwell.in/,,"Edwell Solutions Private Limited is already operating tuition centres in Chamba block of Tehri Garhwal district and Doiwala block of Dehradun district in Uttarakhand with a plan to add more 8 such centres in Uttarakhand by FY 2013-14. Edwell Solutions' future plan includes establishing 250 IT based tuition centre by 2018 in states of Uttarakhand, Uttar Pradesh & Bihar and reaching 15000 unserved students studying in class 3-6 from small towns.",Technology,Software & Computer Services,Edu-Tech,,B2C,Tutions for education,,,TEHRI GARHWAL,,,Tuitions and Tutors,,,,,,,,,,IIM-C,09/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,VI,EkamEco Solutions,http://www.ekamecosolutions.com/,,Target provides sustainable sanitation and value-added bamboo products. Its products include a waterless urinal flush - Zerodor.,Consumer_goods,personal and household goods,Consumer Products and Services,,B2C,Natural products,,,Delhi,,,Farming & Agriculture,,,,,,,,,,IIT-Delhi TBI,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,VI,Ekin Knowledge Enabled,http://www.ekinknowledge.com/,,"Bangalore-based EKIN Knowledge is a holistic personalisation platform, with an instructional design engine, which makes it easy for teachers to build next generation learning solutions.",Technology,Software & Computer Services,Edu-Tech,,B2C,Teacher with new teaching methods,,,Bengaluru,,,Peer teaching and teaching innovations,,,,,,,,,,Edugild,09/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,VI,eKincare,https://www.ekincare.com/,,"Digital health platform, eKincare has raised $329K (INR 2.2 Cr) in Pre-Series A round of funding from Bitchemy Ventures and Maheshwari Investment. Pvt. Ltd. Other HNIs including Anshoo Gaur, RamaKrishna Reddy and Sandeep Seerapu also participated in the round.",Healthcare,Healthcare,Health-Tech,,B2C,Online healthcare platform,,,Hyderabad,,,Telemedicine and Online health care platforms,,,,,,,,,,BitChemy Ventures,12/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,VI,Electronixcraft,http://www.electronixcraft.com/,,Company provides engineering services to clients with product design and development needs.,Industrials,Industrial goods and services,Industrial and Business Products and Services,,B2B,Product Development,,,Bhubaneswar,,,Product development,,,,,,,,,,KIIT-TBI,02/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,VI,Embed Techlabs,http://www.embedtechlabz.com,,"ET Labz is an innovation company specializing in embedded systems technology integration, solar product design, development of learning and scientific solutions.",Technology,Technology Hardware & Equipment,Clean Technology,,B2B,Solar power devices,,,Kochi,,,Solar energy,,,,,,,,,,NIT-Calicut TBI,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,VI,Enability Foundation For Rehabilitation,http://enability.in,,Its product iGest is a kinematic sensor based system that captures gestures of children with cerebral palsy and converts them into a dictionary of sentences.,Healthcare,Healthcare,Health-Tech,,B2C,Medical device for cerebral palsy suffering children,,,Chennai,,,Healthcare Analytics and Software,,,,,,,,,,IIT-M,12/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,VI,Enelek Power,http://www.enelek.com/,,"Enelek is a technology driven company, dedicated to delivery of quality and affordability through state-of-the art solar thermal & solar power products, systems and providing technology solutions & services.",Technology,Technology Hardware & Equipment,Clean Technology,,B2B2C,Solar power devices,,,Mumbai,,,Solar energy,,,,,,,,,,IIT-Bombay SINE,01/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,VI,englishdost,https://englishdost.com/,,English Dost is a mobile app that helps people from smaller towns and cities to learn to speak English language fluently.,Technology,Software & Computer Services,Software and Internet Services,,B2C,English learning mobile application,,,Bengaluru,,,Software services for consumers,,,,,,,,,,Google Launchpad,01/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,VI,Engreen India,http://www.engreen.us,,we believe that next step for this is having full network virtualization. With very open customization options for user. We have come up with a way to create virtual network templates which includes different multiple network elements and connected with each other,,,,,,,,,Bengaluru,,,,,,,,,,,,,GINSERV,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,VI,Epaathsala,http://www.epaathsala.com/,,Bengaluru-based ed-tech startup Epaathsala has raised a pre-Series A round led by Hyderabad Angels. Times Internets startup accelerator TLabs also participated in the round. The funding will be used for global expansion and partnerships with educational institutions.,Technology,Software & Computer Services,Edu-Tech,,B2C,Education courses,,,,,,Peer teaching and teaching innovations,,,,,,,,,,TLabs,10/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,VI,Epictions,,,Epictions is a data analytics company that uses artificial intelligence and machine learning to create content and digital PRs.,Technology,Software & Computer Services,Software and Internet Services,,B2B,Data Analytics,,,Bengaluru,,,Big Data Analytics and Machine learning,,,,,,,,,,Microsoft Accelerator,05/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,VI,EPMCR,http://epmcr.co.in,,EPMCR (Engineering Project Management Consultancy and Research) offers civil engineering solutions from architecture to delivery of the infrastructure facilities to the client.,Industrials,Industrial goods and services,Industrial and Business Products and Services,,B2B,Engineering  solutions of civil engineering,,,Chennai,,,Engineering Consultancy,,,,,,,,,,IIT-M,10/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,VI,Equine Biotech,,,Equine Biotech a veterinary diagnostics company.,Healthcare,Healthcare,Health-Tech,,B2C,Medical treatment for animals,,,Bengaluru,,,Diagnostics,,,,,,,,,,IISc-SID,10/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,VI,Etiq,http://www.etiq.in,,Modular structure of OpenLab platform makes it easier for users to understand the working of different circuits and modules.,Technology,Software & Computer Services,Edu-Tech,,B2B2C,Online learning platform,,,Calicut,,,Online courses and resources,,,,,,,,,,NIT-Calicut TBI,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,VI,ExpertRec,https://expertrec.com/,,A plug-n-play search and recommendation engine for online marketplaces.,Technology,Technology Hardware & Equipment,Social Platforms,,B2C,Suggestive website,,,Bengaluru,,,Website for information,,,,,,,,,,Oracle Startup Cloud Accelerator,06/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,VI,Eywa Media Innovations,http://eywamedia.com/,,Eywa Media is a product that would make TV watching interactive and fun.  In Oct 2015  Eywa Media has raised a seed round of $1 million from US-based Viktor Koenig PE Fund and Mantra Ventures.,Consumer_services,Media,"Media, Advertising and Gaming",,B2C,TV media ,,,Bengaluru,,,Media and entertainment,,,,,,,,,,Kyron,12/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,VI,Fabheads Automation,http://www.fabheads.in/,,"Fabheads is developing products targeting industrial automation in composites manufacturing sector, with a special focus on carbon fiber based products with focus on complete automation with negligible material wastage allowing to bring down per part costs by minimum 10% to as much as 25% based on the production",Industrials,Industrial goods and services,Industrial and Business Products and Services,,B2B,Industrial automation machinery production and sell,,,Chennai,,,Industrial Automation,,,,,,,,,,IIT-M,03/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,VI,Faclon,http://faclon.com,,IoT-based company that offers end-to-end solutions for remote monitoring and automation of water distribution systems in India.,Technology,Software & Computer Services,Technology,,B2B,IOT Industrial,,,Mumbai,,,,,,,,,,,,,Thinqbate,10/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,VI,Faircent,https://www.faircent.com/,,Faircent is a P2P loan platform which enables lenders and borrowers to connect with each other after registering on the platform.,Financials,Financial services,Fin-Tech and Payments,,B2C,Peer to peer loan service,,,Gurgaon,,, Banking and Non Banking Financial services,,,,,,,,,,Microsoft Accelerator,09/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,VI,Fairket,http://fairket.com/,,A “pay for use” pricing and billing service for mobile apps,Financials,Financial services,Fin-Tech and Payments,,B2C,Payment methods,,,Bengaluru,,,Payments and Wallet,,,,,,,,,,Microsoft Accelerator,07/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,VI,Fantain,http://www.fantain.com/,,"Fantain keeps you engaged with the sport, teams and players of your choice. It is a comprehensive platform that includes games, scores, chat, merchandize, tickets, souvenirs, and lots more.",Technology,Software & Computer Services,Social Platforms,"Media, Advertising and Gaming",B2C,Sports media entertainment platform,,,Chennai,,,Connect People for Social Activities,Media and entertainment,,,,,,,,,Paypal Start Tank,02/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,VI,Fareye,http://www.fareye.in/,,FarEye is a SaaS-enabled mobility platform for business operations. FarEye aims to optimise businesses by moving their operations to mobile.,Technology,Software & Computer Services,Software and Internet Services,,B2B,SaaS,,,Delhi,,,SaaS,,,,,,,,,,Microsoft Accelerator,09/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,VI,Fashupp,http://fashupp.com/,,Target is a social fashion platform to discover and create interactive make-ups of latest fashion trends and looks. Fashupp provides catalogue of more than 200 thousand apparels and accessories currently.,Technology,Software & Computer Services,Social Platforms,,B2C,Online information blog for fashion,,,Raipur ,,,Website for information,,,,,,,,,,TLabs,03/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
