startupName,Industry,Sector,investorName,Date,Multiple Angel Rounds,Follow on VC Funding,Exited,City,Region,Website,More Details,
Sheroes,IT & ITES,Online Services (HR - Jobs & Career for Women),"Quintillion Media,Others",Aug-16,Yes,Obtained,Non Exited,Noida,North,http://sheroes.in/,"Sheroes.in, a jobs and career platform for women, has raised Rs 12 crore in a Series-A funding led by Lumis Partners as part of a larger commitment. The fundraising also saw participation from The HR Fund, angel investor Rajul Garg and existing investor Quintillion Media. Sandeep Sinha and Flipkart co-founder Binny Bansal are set to join the board of Sheroes' parent, Applied Life Pvt Ltd.",
ShoeKonnect,IT & ITES,M-Commerce (B2B - Marketplace - Leather Products),Indian Angel Network,Aug-16,No,None,Non Exited,Agra,North,http://app.shoekonnect.com/,INR 0.95 Cr investment by Indian Angel Network,
(TAC Security),IT & ITES,IT Services (Security Solutions),Vijay Kedia,Aug-16,No,None,Non Exited,Ludhiana,North,http://tacsecurity.co.in/,"Cyber-security solutions player TAC has raised a Pre-Series A round from the MD of Kedia Securities, Vijay Kedia. He will also be joining the board of directors as a Non-Executive Independent Director. He will guide TAC in its expansion outside India.",
(Transport on Demand),IT & ITES,Mobile VAS (Marketplace - Trucks),Dhruv Taneja,Aug-16,No,None,Non Exited,Ahmedabad,West,http://thetodapp.com/,"Ahmedabad-based Transport on Demand (ToD), an app-based online logistics platform for intra-city transport, has raised USD 150,000 from investor Dhruv Taneja, director at Empezar Logistics. While 50% of the amount raised will be spent on marketing, the company will set aside 30% for beefing up its technology and 20% for HR.",
(UberDreams),IT & ITES,,Mohit Lalvani,Aug-16,No,None,Non Exited,Mumbai,West,https://www.uberdreams.com/,"Online platform for curated experiences & online auctions, UberDreams, owned by Mumbai-based Dreamatic Innovations Pvt. Ltd., has raised USD500K funding from Mohit Lalvani, CEO of Mascot Group. The team plans to utilise the fund in expanding the list of offerings and ensuring awareness and conversions through digital marketing platforms. AntFarm and Scootsy founder, Rishi Khiani will also join the team as an adviser.",
Unacademy,IT & ITES,Online Services (Education - Videos),"Sandeep Tandon,Kunal Shah,Binny Bansal,Sachin Bansal,Vijay Shekhar Sharma",Aug-16,Yes,Obtained,Non Exited,Bangalore,South,https://unacademy.in/,"INR 5.73 Cr Kunal Shah, Tancom Investments (Tandon Group), Vaibhav Arya, Aprameya Radhakrishna, Sachin & Binny Bansal and few more individuals together invested INR 3.73 Cr Blume Ventures invested INR 2 Cr  Pricing details: Equity and Seed 2 CCPS: FV = INR 10; Issue Price = INR 35339  Between Aug 2016 and Nov 2016,  Issue of 566 Seed 2 CCPS to Blume Ventures Issue of 80 equity shares and 905 Seed 2 CCPS to Angels  The conversion ratio of Seed 2 CCPS to equity is 1:1  The company valuation based on the invested amount is INR 49.98 Cr.  Co Name = Sorting Hat Technologies Private Limited",
Vebbler,IT & ITES,Mobile VAS (Consumer Apps - Photo Sharing),"Sharad Sharma,Anupam Mittal,Others",Aug-16,No,None,Non Exited,Bangalore,South,http://vebbler.com/,"Shaadi.com founder Anupam Mittal has led a consortium of 16 investors to invest USD 500,000 (about INR 3.34 crore) in Bengaluru-based camera and photo sharing app Vebbler. Other investors included Sharad Sharma, founder of iSPIRIT, and Pranav Rai, son of former Infosys board member, besides a string of high net worth individuals from the US, West Asia and Singapore. The funds raised will go towards expanding the team, which comprises 15 people, and in marketing campaigns.",
Witworks,IT & ITES,,Kanwaljit Singh,Aug-16,No,None,Non Exited,,South,http://witworks.in,"Bengaluru-based Think Innoventions Pvt. Ltd which operates under the brand Witworks, received seed funding led by Fireside Ventures and Investopad. Witworks makes connected devices in the home and lifestyle segment. The company will use the funds raised for the development and launch of its wrist-wearable device called Blink.",
Yumlane,IT & ITES,Online Services (E-Commerce - Consumer Shopping - Food Delivery),"Binny Bansal,Anupam Mittal,Others",Aug-16,No,None,Non Exited,Mumbai,West,http://www.yumlane.in/,"QwikPik Technology Pvt. Ltd, which runs food start-up Yumlane, has raised a seed round from Flipkart CEO Binny Bansal and People Group founder Anupam Mittal. Sachin Bhatia, co-founder of TrulyMadly, angel investor Kunal Khattar and Dheeraj Jain, partner at Redcliffe Capital, a UK-based hedge fund, were among other participants in the round. The funding round was under USD 1 million. The company will invest the money in brand building, marketing initiatives and increasing its footprint.",
ZiPi,IT & ITES,M-Commerce - Meta App,Swan Angel Network,Aug-16,No,None,Non Exited,Indore,Central,http://gozipi.com/,"ZiPi, an Indore-based provider of a chatbot platform that allows users to engage with local business and services, has raised funding from Swan Angel Network. The funds will be utilised to accelerate sales and continue developing technology that securely connects businesses with their customers by means of bots and conversational interface.",
(Zzungry),IT & ITES,E-Commerce - Consumer Shopping - Food Ordering,"Madhusudhan Jujare,Satish Vasudeva",Aug-16,No,None,Non Exited,Bangalore,South,https://www.zzungry.com/,"Bengaluru-based foodtech startup Zzungry has secured seed funding from a group of individual Silicon Valley-based investors, including Satish Vasudeva and Madhusudhan Jujare. The startup, will employ the raised funds towards unit expansion and building revenue channels. The platform, which is currently present in 12 states across the country, offers more than 200 curated dishes.",
AbeRuk,IT & ITES,Online Services (Shopping - Books),Swastika,Jul-16,No,None,Non Exited,Bangalore,South,http://www.aberuk.com/,"E-commerce startup AbeRuk has raised angel funding from a Hong Kong-based company Swastika Company Limited. AbeRuk run by Quarto India Internet Pvt. Ltd. is an online marketplace for used books. At present, the startup is operational in Bangalore and has more than 100 sellers listed on their platform. Funds raised will be utilized to expand the team and add customers & sellers.",
Adytude,IT & ITES,Online Services (Advertising - Reviews),Indian Angel Network,Jul-16,No,None,Non Exited,Delhi,North,http://nfxdigital.com/,"Indian Angel Network (IAN) has led a $1-million (INR 6.6-crore) funding round in NFX Digital, which owns and operates gamified consumer insights portal, Adytude. com. IAN member Vikas Kuthiala was the lead investor for the transaction and will be joining the New Delhi-based company's board. The B2B startup's primary product, Adytude.com, is a portal on which consumers come online to play games on a daily basis, and provide information, which is then sold to clients. It pulls out relevant information from targeted demographics, depending on the requirements set by its clients.",
(All Things Organic),IT & ITES,E-Commerce - Consumer Shopping - Organic Product),"S K Tuteja,Gunjan Soni",Jul-16,No,None,Non Exited,Bangalore,South,http://www.allthingsorganic.co.in/,"Marketplace for organic products and groceries All Things Organic has raised INR 1 crore in an angel round from Gunjan Soni, chief marketing officer at fashion portal Myntra and S K Tuteja, a former secretary at the department of food and public distribution. The company launched in September 2015 will use the money to expand its portfolio of private label brands and grow its marketing network. The marketplace which also retails products from other manufacturers of organic products will also start their subscription-based service.",
Appsay,IT & ITES,,Venture Catalysts Angels,Jul-16,No,None,Non Exited,Mumbai,West,,"AppSay, a business communication platform, has raised seed funding of $150,000 from Venture Catalysts in an investment round led by Shreyans Shah and Mayank Shah of Toyochem Laboratories.",
Blinge,IT & ITES,Online Services (E-commerce - Consumer Shopping - Rental - Fashion - Woman),Anupam Mittal,Jul-16,No,None,Non Exited,Mumbai,West,http://www.blinge.in/,"Mumbai-based Panoptic Solutions Pvt. Ltd, which operates online fashion rental platform Blinge has raised first round of funding led by Anupam Mittal, founder and CEO of People Group.",
DarwinBox,IT & ITES,Enterprise Software (SaaS - HR),"Mohandas Pai,Others",Jul-16,No,None,Non Exited,Hyderabad,South,https://darwinbox.in/,Others = Endiya Partners and Tracxn Labs. Hyderabad-based Darwinbox is a human resources technology and analytics company. The software comes with different modules to handle processes right from recruitment to performance management in an organization. Darwinbox plans to use a part of the funds to build more modules and the other towards marketing and sales to expand the product across the country - Mumbai being their next target.,
(Dogseechew),IT & ITES,Online Services (E-commerce – Shopping – Pet Products),"Jyotsna Bapat,Renu Balyan",Jul-16,No,None,Non Exited,Bangalore,South,https://dogseechew.com/,"Dogsee Chew, a Bangalore-based dog food e-tailer, has raised USD 297,000 (INR 2 crore) in a funding round led by Delhi-based Renu Balyan and Jyotsna Bapat, an Associate Professor at IIIT Bangalore. The funds raised will be used for expansion of product portfolio and exports.",
(Dont Scratch Your Head),IT & ITES,Enterprise Software (SaaS - Retail),Venture Catalysts Angels,Jul-16,No,None,Non Exited,Ahmedabad,West,http://www.dsyh.in/,"INR 1.65 Cr. Via Mumbai-based Venture Catalysts (VCats). This round of funding was led by Gaurav Singhvi, Managing Partner – VCats Surat, and Mumbai-based Zaffiro Ventures. DSYH is a SaaS-based logistics reconciliation platform for ecommerce channels. The startup will use the newly raised funds to upgrade technological infrastructure and customer support team.",
FindMyStay,IT & ITES,Online Services (Travel - Hotel Rooms Booking),Indian Angel Network,Jul-16,No,None,Non Exited,Delhi,North,http://www.findmystay.com/,"Delhi-based FindMyStay, a reverse bidding platform for hotel booking, has raised Pre-Series A funding from the Indian Angel Network (IAN). Rishi Parti and Yogesh Bansal led the round. FindMyStay helps customers to book hotels, by connecting them in real-time with hotels that are looking to sell the inventory they foresee going unsold. FindMyStay will use the funds towards product development, brand building and also enhancing its technology. The platform is also aiming to double its hotel partnerships and to increase coverage of cities in the next phase of growth. Currently, FindMyStay has more than 2,000 hotels on its platform across 35 plus Indian cities.",
(Fingerlix),Food & Beverages,Packaged Foods (Ready to Cook Foods),Santosh Desai,Jul-16,No,None,Non Exited,Mumbai,West,https://www.fingerlix.com/,"Shripad Nadkarni, a former marketing head at Coca-Cola India, has teamed up with three other former executives of major consumer goods firms to set up food startup Fingerlix which will sell fresh, ready-to-cook foods such as curries, batter and mixes. Cofounders include Shree Bharambe, formerly with Johnson & Johnson, Abhijit Berde, a former executive at hospitality firm Gate Gourmet, and Varun Khanna who was with Colgate earlier. Set up at an investment of $1.3 million, or about Rs 8.7 crore, Maverix has already brought on board brand consultant Santosh Desai as an investor along with a couple of others. The brand is being retailed in Big Bazaar, Reliance Retail and Hypercity stores in Mumbai to begin with.",
Fulfil.IO,IT & ITES,Enterprise Software (SaaS - DIY E-Commerce Platform),Rajan Anandan,Jul-16,No,None,Non Exited,,West,https://www.fulfil.io/,"Good India head Rajan Anandan has invested in 500 Startups-backed US based Fulfil.IO which offers modern cloud based software for retailers to manage inventory and automate fulfillment operations. While the company is based in US, it also has a centre in Bengaluru where it houses a team that works on design, engineering and data analytics. The funds will be used for ramping up sales operations in the US and scaling the product further.",
GyanDhan,BFSI,Online Services (Marketplace - Education Loans),"Harvard Angels,Stanford Angels,Others",Jul-16,Yes,None,Non Exited,Delhi,North,https://www.gyandhan.com/,"Education financing marketplace GyanDhan has raised an angel round led by Stanford Angels and Entrepreneurs, Harvard Angels and individual investors including Praveen Gandhi, Founding Partner of Seedfund. The platform which provides loans to Indian students to fund their education abroad has disbursed INR 10 crore since its inception in May 2016 and had raised an earlier round from founder of Cube and Citrus Pay, Satyen Kothari.",
(HEAL),Sports & Fitness,,"Parth Jindal,Jaspal Bindra",Jul-16,No,None,Non Exited,Gurgaon,North,http://www.thehealinstitute.in/,"Former Standard Chartered banker Jaspal Bindra and Parth Jindal, son of JSW Group chairman Sajjan Jindal, have invested in HEAL Institute, a sports-focused healthcare startup. The fresh round of fundraising may see the company raising as much as INR 50 crore. It will use the funds for its expansion across major metros in the country. Currently, it has two stand-alone centres, both in Mumbai. It plans to open five centres in the next one year. The company is also negotiating with tennis player Mahesh Bupathi, who is a director in the company, to bring him as an investor.",
(Hello Tax),IT & ITES,,Sanjeev Sinha,Jul-16,No,None,Non Exited,Delhi,North,http://www.hellotax.co.in/,"Delhi-based iTechFlock Software Pvt Ltd, which runs and operates Hello Tax, an app that helps users fill income tax returns easily, has raised INR 2 crore ($294,000) in an angel round of funding from Sanjeev Sinha, chief managing director of brokerage firm Amrapali Aadya. Hello Tax will use the funding for marketing for the app.",
Hokey Pokey,Food & Beverages,Restaurants ( Ice Cream Chain),"Apurva Salarpuria,Kanwaljit Singh,Deepak Shahdadpuri,Others",Jul-16,No,None,Non Exited,Mumbai,West,http://www.hokeypokey.in/,"INR 44.5 Cr led by Verlinvest, a Belgium-based investment holding company and DSG Consumer Partners. Existing investors Fireside Ventures, TPG Growth India Head Vish Narain, Salarpuria Group scion Apurva Salarpuria and crowd funding platform Ketto also participated in the round. Target = Drums Food International, which sells Epigamia brand of Greek yogurt and Hokey Pokey brand of premium ice cream. The company had earlier raised INR 20 crore across multiple rounds.",
(ImageProVision),IT & ITES,IT Services,Satish Jamdar,Jul-16,No,None,Non Exited,Pune,West,http://www.imageprovision.com/,"Pune-based image analysis startup ImageProVision Technology has raised angel funding from Satish Jamdar, former managing director of Blue Star. ImageProVision makes products that enable companies to extract and analyse data drawn from images. It caters primarily to the pharma sector. The funds raised will be deployed towards further strengthening their presence within the pharma sector and tapping into more clients, as well as entering other sectors like biotechnology and medical imaging. Anup Patil of Arthsutra Capital advised the companies on the transaction.",
(Instago ),IT & ITES,,Ramit Sethi,Jul-16,No,None,Non Exited,Gurgaon,North,http://instago.co.in/,"Intra-city travel application Instago that helps users compare prices and book the cheapest mode of transport across different categories including on-demand taxis, autos, public transport and self-drive options has raised $500,000 from multiple investors including angel investor Ramit Sethi of Strongbox Ventures.",
IntensAquatic,Agri-business,Services (Aquaculture),"Sharad Sharma,Others",Jul-16,No,None,Non Exited,Bangalore,South,,Angel investor Sharad Sharma has invested INR 25 lakh in Bangalore-based fish farming startup IntensAquatica. Sharma has also helped IntensAquatica raise INR 2.5 crore from some investors through the LetsVenture platform. The startup is using technology solutions to increase yield from fish farms through intensive farming.,
(iServe),BFSI,NBFC,Nilesh Shah,Jul-16,No,None,Non Exited,Pune,West,http://www.iservefinancial.com/,"Pune-based iServe Financial has raised seed funding from a group of investors including Nilesh Shah, CEO of Kotak Mutual Fund. Founded in 2014, by Dipak Samanta, Rahul Bhaik, Krishna Iyer, and Sasanka Panda, iServe aims to serve the financial needs of consumers across retail loan, investment, and protection solutions. The startup plans to use the funds to further improve its online platforms reach and penetration.",
(IStyleYou),IT & ITES,,Rannvijay Singh,Jul-16,No,None,Non Exited,,North,http://istyleyou.in/,"Bollywood actor Rannvijay Singh has invested in IStyleYou, a Gurgaon-based mobile app to deliver personalised styling service. The funds will be used for branding, marketing, and product expansion. Founded in November 2015, IStyleYou is run by Uninext Solutions Pvt Ltd. It provides a platform, where users can interact with fashion stylists and also know what is trending as per their style profile.",
(Lemon Leaf),IT & ITES,Online Services (Shopping - Fruits and Vegetables),"Tushar Gupta,Saurabh Sahni",Jul-16,No,None,Non Exited,Delhi,North,http://lemonleaf.in/,"Delhi-based fresh fruit and vegetable supply chain startup Lemon Leaf has raised $133K (INR 90 lakhs) from angel investors, Saurabh Sahni and Tushar Gupta, owner of Daily Delite Super Market.  The company processes and packages over 1,500 kg per day. It is also looking to launch Lemon Leaf exclusive stores and franchisee stores.",
Licious,IT & ITES,M-Commerce - Consumer Shopping - Meat Ordering,Kanwaljit Singh,Jul-16,No,Obtained,Non Exited,Bangalore,South,http://www.licious.in/,"Kanwaljit Singh, via his family office Fireside Ventures, has invested in online meat and fish retailer Licious.",
(Lucideus),IT & ITES,IT Services (Cyber Security),Sanjay Baweja,Jul-16,No,None,Non Exited,Delhi,North,http://www.lucideus.com/,"Delhi-based Cyber security startup Lucideus has raised funding from Flipkart CFO, Sanjay Baweja. Co-founded in 2012 by Saket Modi, Lucideus offers consultancy, training and solutions to counteract cyber attacks.",
MintM,Advertising & Marketing,,"Mumbai Angels,Others",Jul-16,No,None,Non Exited,,South,http://www.mintm.com/,Retail focused digital signage MintM has recently raised its pre Series A funding co-led by Mumbai Angels and Times Internet following MintMs graduation from the TLabs incubator. The company will use the funds to enhance its cloud based smart signage platform Magnet and take it to international markets.,
(Neuron),IT & ITES,,Harvinder Singh Bhatia,Jul-16,No,None,Non Exited,,North,http://neuronme.com/,"Neuron, a New Delhi-based machine learning platform for text analysis has raised an angel funding of $200,000. The round was led by Harvinder Singh Bhatia, CFO Netmagic & Founder of Radiowala. The company plans to use the funds for its R&D in machine learning and natural language processing to develop deep learning models.",
(Olly),IT & ITES,Online Services (Payments - Credit Card),Shankar Roy,Jul-16,No,None,Non Exited,Delhi,North,http://www.getolly.com/,"Smart Payment card app Olly, run by Delhi-based Money King Remittance Technologies Pvt Ltd, has raised a seed funding from Shankar Roy, an angel investor. The company is also in in talks to raise $500,000 in additional angel funding. Olly provides a digital line of macro credit up to a limit of Rs 5,000 available instantly. The users can use the credits online and in physical stores. The startup will use the money to scale up its sales and to launch its own standalone card. Some of the money will also be used to scale up the consumer segment. Earlier, it had qualified for the StartupChile program and the Federal Bank Innovation Program.",
(Pitstop),IT & ITES,Online Services (Marketplace - Car & Bike Servicing),"Rahul Garg,Alex Chua",Jul-16,Yes,None,Non Exited,Bangalore,South,,"Car repair and servicing startup Pitstop has raised funding from Alex Chua, chief operating officer of Singapore-based Goldbell Group; and the founder of Moglix, Rahul Garg. The Bengaluru-based company works through tieups with local garages. The company has plans of entering into new markets including Mumbai, Pune, Chandigarh, Chennai and Hyderabad over the next quarter.",
(Qdesq),IT & ITES,Online Services (Aggregator - Co-Working Space),"Rishi Kajaria,Ruchirans Jaipuria,Anuraag Jaipuria",Jul-16,No,None,Non Exited,Gurgaon,North,https://www.qdesq.com/,"INR 1.41 Cr Jai Drinks, Ruchirans Jaipuria, Rishi Kajaria each invested INR 0.33 Cr Others invested INR 0.42 Cr Others = Dhiraj Jain and few individuals  Pricing details: CCPS: FV = INR 10; Issue Price = INR 8588.11  On Aug 10, 2016, issue of 1644 CCPS to the angels.  Based on the invested amount, the company valuation will be INR 11.07 Cr  Co Name = Qdesq Realtech Private Limited Qdesq, a plug-and-play workspace rental platform, has raised funding from an investor consortium led by Anuraag Jaipuria, director of Jai Drinks, Ruchirans Jaipuria, director of Jaipuria Beverage and Food, and Rishi Kajaria, joint managing director of Kajaria Ceremics.   The funds will be used for expansion, marketing and enhancement of technology. The firm claims to have 227 venues across Delhi, Gurgaon, Noida, Mumbai and Bengaluru in two formats  short occupancy (meeting rooms), workspace for a day, and long occupancy (workspace on monthly basis).",
(Repaireasy),IT & ITES,Online Services,"Ben James,P Krishnamurthy,Rohit Tiwari",Jul-16,No,None,Non Exited,Pune,West,http://www.repaireasy.in/,"Pune-based online gadget servicing startup Repaireasy has raised USD 250,000 in seed funding from a consortium of investors, including Rohit Tiwari, CEO and MD of Morris Steel Advisors; P Krishnamurthy, former executive of JM Morgan Stanley; Ben James, GRT India CEO and few others. Run by Bhrmaa Software Solution Pvt Ltd, Repaireasy has invested most of the funding sum in marketing, hiring and technology.",
(Satvacart ),IT & ITES,Online Services (E-Commerce - Consumer Shopping - Grocery),"SP Vijay,Karan Chellani,Abhijit Avasthi",Jul-16,Yes,None,Non Exited,Gurgaon,North,,"SatvaCart, a Gurgaon-based online grocery retailer, has raised additional angel funding from Abhijit Avasthi (Sideways), Karan Chellani (Partner, Grace Capital Ventures) and SP Vijay (Founder, Tarento Technologies). The funds will be utilised to achieve complete break-even within next 4 quarters. The company has added Avasthi to its Board of Directors along with Sameer Bagul (EVP & CFO, Cleartrip) and Sri Ramakrishnan, a marketing veteran with 20 years experience and a visiting faculty at IIMA with expertise in e-Grocery.",
(Skrilo),IT & ITES,Mobile VAS,"Arvind Tiku,Anuj Srivastava",Jul-16,No,None,Non Exited,Gurgaon,North,https://www.skrilo.com/,"Gurgaon-based Skrilo, a mobile marketing and rewards platform, has raised $1.5 million (about Rs 10 Crore) from angel investors including Livspace CEO Anuj Srivastava and Arvind Tiku, chairman of AT Capital Group. The company will use the money for marketing its rewards program, developing new products and enhancing its technology. The platform helps businesses to engage with customers and connect with them in a targeted manner.",
Square Plums,IT & ITES,Online Services (Marketplace - Home Rentals - Singles),Indian Angel Network,Jul-16,No,None,Non Exited,Bangalore,South,http://www.squareplums.com/,"Shared accommodations start-up Square Plums has raised a seed funding of INR 3 crore from angel investor group Indian Angel Network. The funding round was led by GN Prakash, Amitabh Shrivastava, Krishna Jha and Ravindra Krishnappa.",
(Streo),IT & ITES,Mobile VAS (Consumer App - Music Streaming),"Akash OP Aurora,Aditya Gupta",Jul-16,No,None,Non Exited,Bangalore,South,https://play.google.com/store/apps/details?id=streo.com.streoapp&hl=en,"Streo Technologies, which operate Streo, a music app launched on the app store and play store in May 2016, has raised seed funding from Aditya Gupta, former chairman Serco (India) and Akash OP Aurora, Chief Visionary of Los Angeles, USA-based IdeaTree. The Sreo app enables users to listen to music from their favourite nightclubs and bars from anywhere in the world, live. Apart from providing an un-interrupted, high-quality music experience, Streo gives its users access to the latest trends in music real time, saving them the trouble of making or updating a playlist ever.",
SwarmX,IT & ITES,IT Products (Drones),Mohandas Pai,Jul-16,No,None,Non Exited,Singapore,Overseas,http://www.swarmx.co/#home,Mohandas Pai has invested in Singapore-based drone technology startup SwarmX Pte. Ltd. SwarmXs offerings allow users to operate drones with minimal training.,
(Tiyo),Healthcare & Life Sciences,,"Ajith Nair,Anish K",Jul-16,No,None,Non Exited,Kolkata,East,https://tiyo.in/,"Kolkata-based healthtech startup Tiyo has raised USD 120,000 of angel funding, after being bootstrapped for almost a year. The round was led by Anish K, an entrepreneur in the Middle East and Ajith Nair, CEO iAdepto Global. The raised funds will be utilised to strengthen the development team based out of Bengaluru and will help in opening new sales offices in the South and West.",
(Trak N Tell),IT & ITES,IT Products,Brian Acton,Jul-16,No,None,Non Exited,Gurgaon,North,http://www.trakntell.com/,"Gurgaon-based car tracking telematics solutions startup, Trak N Tell, has raised about $3.5 million (INR 23.3 crores) funding from WhatsApp cofounder Brian Acton along with two other investors. Trak N Tell provides sophisticated vehicle telematics solutions, which claims to allow for predictive engine failure, preventive maintenance notification and fuel monitoring system, among others.",
(Truckola),IT & ITES,Mobile VAS (Marketplace - Trucks),"Suramya Gupta,Nihit Agarwal,Sarthak Agarwal,Shanti Mohan,Sarath Sura,Krishnakumar Natarajan,Abhishek Agarwal",Jul-16,No,None,Non Exited,Bangalore,South,http://www.truckola.in/,"Logistics tech startup Truckola has raised INR 4 crore in an angel funding round, which was led by Abhishek Agarwal of Fortune Interfinance (FIFL), on deal making platform LetsVenture. The funds will be used for scaling up technology and for strengthening the service delivery capability. Truckola primarily focuses on full-truckloads cargo on long distance inter-state routes. The round also saw participation from other investors such as Krishnakumar Natarajan, executive chairman of Mindtree; Al Hamra Group; Sarath Sura, chairman of GreyCampus; Shanti Mohan, founder of LetsVenture; Sarthak and Nihit Agarwal of Shubhalakshmi Polyesters; and Suramya Gupta, fund manager at a leading Japanese VC Firm.",
Twigly,IT & ITES,M-Commerce - Consumer Shopping - Food Ordering),"Kunal Shah,Hyderabad Angels,Others",Jul-16,Yes,None,Non Exited,Gurgaon,North,http://twigly.in/,"Gurgaon-based food ordering startup Twigly has raised USD 600,000 in seed funding. Co-founded by Sonal Minhas, ex-vice-president at venture capital firm SAIF Partners, Twigly has raised fresh capital from Bengaluru-based Tracxn Labs, Hyderabad Angels, Freecharge founder Kunal Shah and Flipkart vice-president (engineering) Gaurav Bhalotia, among others. The company will use the money to expand into new cities and towards building a food brand that will be made available in supermarkets and online platforms.",
(UrDoorstep),IT & ITES,Online Services (E-Commerce - Consumer Shopping - Hypermarket),CP Murali,Jul-16,No,None,Non Exited,Bangalore,South,http://www.urdoorstep.com/,"Bangalore-based online hypermarket Urdoorstep.com has raised a bridge round of INR 3 crore from CP Murali, former president and chief operating officer of telecom software-maker Aricent Technologies. The company, incorporated in October, 2015, plans to cover 92 pincodes for Bengaluru city over the coming two months and aims to have a pan-India presence in the next six months.  The company had earlier raised funding from Jupiter Capital.",
Velvetcase,IT & ITES,Online Services (E-Commerce - Jewellery),"Mohandas Pai,Chennai Angels,Others",Jul-16,Yes,Obtained,Non Exited,Mumbai,West,http://velvetcase.com,"Bodhi Brands Pvt. Ltd , a Mumbai-based company that owns and operates online jewellery site Velvetcase.com, has raised USD 1.5-2 million in a second round of funding. The round was led Uniqorn Ventures with participation from a group of angel investors such as T.V. Mohandas Pai and S. Somasegar through the LetsVenture platform. Existing investor The Chennai Angels also participated in the funding round. Bodhi Brands aims to use the funds for marketing initiatives, strengthening technology and developing solutions that are seller-centric.",
(Voler Cars),IT & ITES,,Amit Banka,Jul-16,No,None,Non Exited,Delhi,North,http://volercars.com/,"Voler Cars, a New Delhi-based self-drive car rental startup, has raised funding led by the Kanodias, along with Amit Banka, Investor and entrepreneur. The investors have also taken a minority stake in the company.  The firm plans to use the raised capital to expand its fleet across multiple cities such as Hyderabad, Mumbai and Pune over the next few months.",
(WeddingWishlist),IT & ITES,E-Commerce (Wedding Registry),"CherryTin,Renuka Ramanath,Kirthiga Reddy",Jul-16,No,None,Non Exited,Chennai,South,https://www.weddingwishlist.com/,"WeddingWishlist, a Chennai based wedding gift registry portal, has raised $297,000 (INR 2 crore) led by Facebook India MD Kirthiga Reddy, Multiples Equity founder Renuka Ramanath and online gifting store CherryTin, among others. The company will use the funds to target the milestone of 500 wishlists in a year. It further plans to scale its operations pan–India and to launch its mobile app in the next few months. It planss to raise its next round of funding later this year.",
Wiwigo,IT & ITES,Online Services (Cabs - Inter City),Indian Angel Network,Jul-16,No,None,Non Exited,Delhi,North,https://www.wiwigo.com/,"Delhi-based Wiwigo, an inter-city taxi service provider, has raised about $600K (INR 4 Cr) funding from Indian Angel Network (IAN) and two HNIs. IAN Investors, Priyank Garg and Harsh Chitale led the funding round. Priyank Garg will join Wiwigos board.",
WorkApps,IT & ITES,Enterprise Software(Saas - Workflow Management),SRI Capital,Jul-16,No,None,Non Exited,Pune,West,https://www.workapps.com/,"WorkApps, an enterprise workflow collaboration company (EWC), has secured USD 1 million (INR 6.7 crore) in funding from Sashi Reddi-led SRI Capital, a seed-stage investor focused on the -as a service- economy. The companys product aims to augment communication efforts for companies with its software, improve efficiency and change the way people collaborate. WorkApps will be rolled out simultaneously in the US, Europe and APAC region later this year.",
Yellowdig,IT & ITES,Enterprise Software(Education - Collaboration),SRI Capital,Jul-16,No,None,Non Exited,Pune,West,https://www.yellowdig.com/,"Sashi Reddi, SRI Capital has invested $1.3 million in two SaaS startups — Yellowdig in Pune and Zuppler in Delhi. Headquartered in the US and based out of Pune, Yellowdig has created a course collaboration software that universities can use as a complement to their current learning management systems.",
Zuppler,IT & ITES,E-Commerce - Consumer Shopping - Food Ordering,SRI Capital,Jul-16,Yes,None,Non Exited,Delhi,North,http://www.zuppler.com/,"Sashi Reddi, SRI Capital has invested $1.3 million in two SaaS startups — Yellowdig in Pune and Zuppler in Delhi. Zupplers software technology targets independent restaurant owners to help them streamline all the technologies through the Zuppler platform and take control of all their online customers. The companies plan to use these funds to scale up and roll out their products in global markets.",
6Degree,IT & ITES,Online Services (Community - Fashion Professionals),Indian Angel Network,Jun-16,No,None,Non Exited,Hyderabad,South,http://6degree.co/,"6Degree, a Hyderabad-based fashion talent and tech startup, has raised USD 200,000 from Indian Angel Network. The investment was led by Abhishek Agarwal, who will be joining the company’s board. The raised funds will be utilised in technology enhancement and in expanding the portal’s reach. Target = Protinus Fashion Networking Private Limited",
(Athletto),IT & ITES,Mobile VAS,Atul Ingle,Jun-16,No,None,Non Exited,Banagalore,South,https://athletto.com,"Bangalore-based sports tech startup Athletto, that helps in booking local sports infrastructure, has raised angel funding from industrialist and sports fan Atul Ingle. With the newly raised capital, Athletto aims to focus on aggregating listings on their platform. It also plans to ramp up its operations in Bangalore and expand to other cities along with hiring talent, improving technology and customer experience.",
Bonhomia,IT & ITES,"Beverages (Capsules - Coffee, Tea)",Kanwaljit Singh,Jun-16,Yes,None,Non Exited,Delhi,North,http://www.coffeecapsules.in/,"Indulge Beverages, which owns and distributes premium tea and coffee brand Bonhomia, has raised $500,000 (Rs 3.3 crore) in a bridge round of funding. It is also in talks with potential strategic investors for a majority stake sale. The new funding round was led by existing backers including seed-stage investment firm Fireside Ventures and real estate group scion Apurv Salarpuria of Salarpuria Group. Valpro Capital and an unnamed early-stage investor also put in money.",
